1.97,12062.23,15329.14,100.92,-0.07
2.03,13415.74,15482.51,100.92,0.00
2.09,14590.63,15431.09,100.92,-0.07
2.15,14528.93,15425.40,101.01,0.00
2.21,14518.69,15414.03,101.01,-0.07
2.27,14559.71,15414.03,101.01,0.00
2.33,14580.31,15419.71,101.01,-0.07
2.39,14590.63,15453.91,101.01,0.00
2.45,14590.63,15471.07,100.92,-0.07
2.51,14585.46,15448.20,101.01,0.00
2.57,14720.66,14710.19,100.92,-0.07
2.62,14652.79,13340.36,101.01,0.00
2.68,13692.43,13183.15,100.92,-0.07
2.74,13191.80,13050.33,101.01,-0.07
2.80,13131.46,13037.59,100.92,-0.07
2.86,13080.11,13071.59,100.92,0.00
2.92,12995.32,13140.05,100.92,0.00
2.98,12874.04,13226.50,100.92,-0.07
3.04,12677.55,13420.20,100.92,0.00
3.10,12369.11,13729.46,101.01,0.00
3.15,12032.62,14177.96,101.01,-0.07
3.21,11665.87,14976.13,100.92,-0.07
3.27,11404.83,15414.03,100.92,-0.07
3.33,11371.22,15363.00,101.01,-0.07
3.39,11875.64,15363.00,101.01,-0.07
3.45,13088.65,15465.33,101.01,-0.07
3.51,14652.79,15419.71,101.01,-0.07
3.57,14559.71,15425.40,101.01,-0.07
3.63,14564.87,15414.03,101.01,0.00
3.69,14590.63,15414.03,101.01,0.00
3.75,14621.65,15425.40,100.92,-0.07
3.81,14642.40,15465.33,100.92,-0.07
3.87,14637.21,15476.79,101.01,0.00
3.93,14626.83,15436.79,101.01,0.00
3.99,14820.86,14326.52,100.92,0.00
4.05,14621.65,13335.96,101.01,-0.07
4.11,13794.68,13209.13,101.01,0.00
4.16,13300.75,13122.87,101.01,0.00
4.22,13067.34,13144.34,101.01,-0.07
4.28,12832.67,13230.84,100.92,-0.07
4.34,12665.45,13349.20,101.01,-0.07
4.40,12541.49,13442.53,101.01,0.00
4.46,12400.14,13609.75,101.01,0.00
4.52,12212.12,13851.00,100.92,-0.07
4.58,12017.87,14138.79,100.92,-0.07
4.64,11704.49,14616.48,100.92,-0.07
4.70,11479.36,15317.90,100.92,-0.07
4.75,11364.52,15425.40,101.01,-0.07
4.81,11411.57,15379.97,100.92,-0.07
4.87,12043.71,15391.31,101.01,0.00
4.93,13226.50,15476.79,101.01,0.00
4.99,14616.48,15436.79,101.01,-0.07
5.05,14534.05,15431.09,101.01,-0.07
5.11,14534.05,15425.40,100.92,-0.07
5.17,14570.01,15425.40,100.92,0.00
5.23,14611.30,15431.09,101.01,-0.07
5.29,14637.21,15453.91,100.92,0.00
5.35,14632.01,15465.33,101.01,0.00
5.41,14632.01,15459.63,100.92,0.00
5.47,14621.65,15471.07,101.01,-0.07
5.53,14906.18,14528.93,101.01,-0.07
5.59,14736.40,13487.37,101.01,0.00
5.64,14316.54,13283.21,101.01,-0.07
5.70,13692.43,13110.02,100.92,-0.07
5.76,13420.20,13135.75,100.92,-0.07
5.82,13200.46,13191.80,101.01,-0.07
5.88,12978.47,13349.20,101.01,-0.07
